Name,Type,CMC,Color Identity,Oracle Text,Keywords,Power,Toughness
"Oglor, Devoted Assistant",Homunculus,2.0,U,"At the beginning of your upkeep, look at the top two cards of your library, then put one of them into your graveyard.Whenever a creature card is put into your graveyard from your library or hand, it perpetually gains ""When this card leaves your graveyard, create a tapped 2/2 black Zombie creature token.""",,1,1
"Ojer Axonil, Deepest Might // Temple of Power",God // Land,4.0,R,Missing Oracle Text,"Transform, Trample",0,0
"Ojer Kaslem, Deepest Growth // Temple of Cultivation",God // Land,5.0,G,Missing Oracle Text,"Transform, Trample",0,0
"Ojer Pakpatiq, Deepest Epoch // Temple of Cyclical Time",God // Land,4.0,U,Missing Oracle Text,"Flying, Transform",0,0
"Ojer Taq, Deepest Foundation // Temple of Civilization",God // Land,6.0,W,Missing Oracle Text,"Vigilance, Transform",0,0
"Ojutai, Soul of Winter",Dragon,7.0,"U, W","Flying, vigilanceWhenever a Dragon you control attacks, tap target nonland permanent an opponent controls. That permanent doesn't untap during its controller's next untap step.","Flying, Vigilance",5,6
"Okaun, Eye of Chaos",Cyclops Berserker,5.0,R,"Partner with Zndrsplt, Eye of Wisdom (When this creature enters, target player may put Zndrsplt into their hand from their library, then shuffle.)At the beginning of combat on your turn, flip a coin until you lose a flip.Whenever a player wins a coin flip, double Okaun's power and toughness until end of turn.","Partner with, Partner",3,3
Oketra the True,God,4.0,W,"Double strike, indestructibleOketra can't attack or block unless you control at least three other creatures.{3}{W}: Create a 1/1 white Warrior creature token with vigilance.","Indestructible, Double strike",3,6
Ol' Buzzbark,Goblin Warrior,2.0,"G, R","When Ol' Buzzbark enters, roll X six-sided dice onto the battlefield from a height of at least X inches. For each die, put a number of +1/+1 counters equal to the result on each creature you control that die is touching. For each die, Ol' Buzzbark deals damage equal to the result to each creature an opponent controls that die is touching.",,3,3
Old Gnawbone,Dragon,7.0,G,"FlyingWhenever a creature you control deals combat damage to a player, create that many Treasure tokens.","Flying, Treasure",7,7
"Optimus Prime, Hero // Optimus Prime, Autobot Leader",Robot // Legendary Artifact,6.0,"R, U, W",Missing Oracle Text,"Living metal, Trample, Convert, More Than Meets the Eye, Bolster",0,0
"Orca, Siege Demon",Demon,7.0,"B, R","TrampleWhenever another creature dies, put a +1/+1 counter on Orca.When Orca dies, it deals damage equal to its power divided as you choose among any number of targets.",Trample,5,5
"Orcus, Prince of Undeath",Demon,4.0,"B, R","Flying, trampleWhen Orcus enters, choose one —• Each other creature gets -X/-X until end of turn. You lose X life.• Return up to X target creature cards with total mana value X or less from your graveyard to the battlefield. They gain haste until end of turn.","Flying, Trample",5,3
"Oriss, Samite Guardian",Human Cleric,3.0,W,"{T}: Prevent all damage that would be dealt to target creature this turn.Grandeur — Discard another card named Oriss, Samite Guardian: Target player can't cast spells this turn, and creatures that player controls can't attack this turn.",Grandeur,1,3
"Ormos, Archive Keeper",Sphinx,6.0,U,"FlyingIf you would draw a card while your library has no cards in it, instead put five +1/+1 counters on Ormos.{1}{U}{U}, Discard three cards with different names: Draw five cards.",Flying,5,5
"Oros, the Avenger",Dragon,6.0,"B, R, W","FlyingWhenever Oros deals combat damage to a player, you may pay {2}{W}. If you do, Oros deals 3 damage to each nonwhite creature.",Flying,6,6
"Orthion, Hero of Lavabrink",Human Soldier,4.0,R,"{1}{R}, {T}: Create a token that's a copy of another target creature you control. It gains haste. Sacrifice it at the beginning of the next end step. Activate only as a sorcery.{6}{R}{R}{R}, {T}: Create five tokens that are copies of another target creature you control. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.",,3,3
"Othelm, Sigardian Outcast",Human,3.0,"G, W","{2}, {T}: Choose target creature card in your graveyard that was put there from the battlefield this turn. Return it to the battlefield tapped.Friends forever (You can have two commanders if both have friends forever.)",Friends forever,2,2
Overseer of Vault 76,Human Advisor,3.0,W,"First Contact — Whenever Overseer of Vault 76 or another creature you control with power 3 or less enters, put a quest counter on Overseer of Vault 76.At the beginning of combat on your turn, you may remove three quest counters from among permanents you control. When you do, put a +1/+1 counter on each creature you control and they gain vigilance until end of turn.",First Contact,3,3
"Oviya, Automech Artisan",Human Artificer,4.0,G,"Each creature that's attacking one of your opponents has trample.{G}, {T}: You may put a creature or Vehicle card from your hand onto the battlefield. If you put an artifact onto the battlefield this way, put two +1/+1 counters on it.",,1,2
"Oviya Pashiri, Sage Lifecrafter",Human Artificer,1.0,G,"{2}{G}, {T}: Create a 1/1 colorless Servo artifact creature token.{4}{G}, {T}: Create an X/X colorless Construct artifact creature token, where X is the number of creatures you control.",,1,2
"Owen Grady, Raptor Trainer",Human Soldier Scientist,3.0,"G, R","Partner with Blue, Loyal Raptor{T}: Put your choice of a menace, trample, reach, or haste counter on target Dinosaur. Activate only as a sorcery.","Partner with, Partner",3,2
"Oyaminartok, Polar Werebear",Giant Bear,4.0,"G, U","Oyaminartok, Polar Werebear has hexproof if it hasn't dealt damage yet.Whenever Oyaminartok deals combat damage to a player, create a Food token.{U}, Sacrifice a Food: Draft a card from Oyaminartok's spellbook. When you do, add {U}{U}{U}. Spend this mana only to cast blue creature spells.",Food,4,5
"Padeem, Consul of Innovation",Vedalken Artificer,4.0,U,"Artifacts you control have hexproof. (They can't be the targets of spells or abilities your opponents control.)At the beginning of your upkeep, if you control the artifact with the highest mana value or tied for the highest mana value, draw a card.",,1,4
"Pako, Arcane Retriever",Elemental Dog,5.0,"G, R","Partner with Haldan, Avid ArcanistHasteWhenever Pako attacks, exile the top card of each player's library and put a fetch counter on each of them. Put a +1/+1 counter on Pako for each noncreature card exiled this way.","Partner with, Haste, Partner",3,3
"Paladin Danse, Steel Maverick",Synth Knight,3.0,W,"Vigilance, lifelinkExile Paladin Danse: Each creature you control that's an artifact or Human gains indestructible until end of turn.","Lifelink, Vigilance",3,3
Paladin Elizabeth Taggerdy,Human Knight,3.0,"R, W","Battalion — Whenever Paladin Elizabeth Taggerdy and at least two other creatures attack, draw a card, then you may put a creature card with mana value X or less from your hand onto the battlefield tapped and attacking, where X is Paladin Elizabeth Taggerdy's power.",Battalion,3,2
Palladia-Mors,Elder Dragon,8.0,"G, R, W","Flying, trampleAt the beginning of your upkeep, sacrifice Palladia-Mors unless you pay {R}{G}{W}.","Flying, Trample",7,7
"Palladia-Mors, the Ruiner",Elder Dragon,6.0,"G, R, W","Flying, vigilance, tramplePalladia-Mors has hexproof if it hasn't dealt damage yet.","Flying, Vigilance, Trample",6,6
"Pang Tong, ""Young Phoenix""",Human Advisor,3.0,W,"{T}: Target creature gets +0/+2 until end of turn. Activate only during your turn, before attackers are declared.",,1,2
Passionate Archaeologist,Background,2.0,R,"Commander creatures you own have ""Whenever you cast a spell from exile, this creature deals damage equal to that spell's mana value to target opponent.""",,0,0
Patron of the Akki,Spirit,6.0,R,"Goblin offering (You may cast this spell any time you could cast an instant by sacrificing a Goblin and paying the difference in mana costs between this and the sacrificed Goblin. Mana cost includes color.)Whenever Patron of the Akki attacks, creatures you control get +2/+0 until end of turn.",Offering,5,5
Pavel Maliki,Human,6.0,"B, R",{B}{R}: Pavel Maliki gets +1/+0 until end of turn.,,5,3
Peregrin Took,Halfling Citizen,3.0,G,"If one or more tokens would be created under your control, those tokens plus an additional Food token are created instead. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")Sacrifice three Foods: Draw a card.",Food,2,3
Peri Brown,Human,4.0,W,The first historic spell you cast each turn has convoke. (Your creatures can help cast it. Each creature you tap while casting it pays for {1} or one mana of that creature's color.)Doctor's companion (You can have two commanders if the other is the Doctor.),Doctor's companion,2,3
"Phabine, Boss's Confidant",Cat Advisor,6.0,"G, R, W","Creature tokens you control have haste.Parley — At the beginning of combat on your turn, each player reveals the top card of their library. For each land card revealed this way, you create a 1/1 green and white Citizen creature token. Then creatures you control get +1/+1 until end of turn for each nonland card revealed this way. Then each player draws a card.",Parley,3,6
"Phoebe, Head of S.N.E.A.K.",Human Spy,3.0,"B, U","Phoebe can't be blocked by creatures with flavor text.{2}{U}{B}: Phoebe permanently steals target creature's text box. (That creature loses all rules text, flavor text, and watermarks. This creature gains them.)",,2,3
Pia and Kiran Nalaar,Human Artificer,4.0,R,"When Pia and Kiran Nalaar enters, create two 1/1 colorless Thopter artifact creature tokens with flying.{2}{R}, Sacrifice an artifact: Pia and Kiran Nalaar deals 2 damage to any target.",,2,2
Pia Nalaar,Human Artificer,3.0,R,"When Pia Nalaar enters, create a 1/1 colorless Thopter artifact creature token with flying.{1}{R}: Target artifact creature gets +1/+0 until end of turn.{1}, Sacrifice an artifact: Target creature can't block this turn.",,2,2
"Pianna, Nomad Captain",Human Nomad,3.0,W,"Whenever Pianna attacks, attacking creatures get +1/+1 until end of turn.",,2,2
"Pippa, Duchess of Dice",Human Noble,3.0,"G, U","{2}{G}, {T}: Roll a six-sided die. It becomes a green Die creature token with power and toughness each equal to its result.{2}{U}, {T}: Reroll any die. (Activate only any time it makes sense.)",,2,2
"Pippin, Guard of the Citadel",Halfling Soldier,2.0,"U, W","Vigilance, ward {1}{T}: Another target creature you control gains protection from the card type of your choice until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything of that type.)","Vigilance, Ward",2,2
"Pippin, Warden of Isengard",Halfling Advisor,2.0,"B, G","Partner with Merry, Warden of Isengard (When this creature enters, target player may put Merry into their hand from their library, then shuffle.){1}, {T}: Create a Food token.{T}, Sacrifice four Foods: Other creatures you control get +3/+3 and gain haste until end of turn. Activate only as a sorcery.","Partner with, Food, Partner",2,2
"Pir, Imaginative Rascal",Human,3.0,G,"Partner with Toothy, Imaginary Friend (When this creature enters, target player may put Toothy into their hand from their library, then shuffle.)If one or more counters would be put on a permanent your team controls, that many plus one of each of those kinds of counters are put on that permanent instead.","Partner with, Partner",1,1
"Plargg, Dean of Chaos // Augusta, Dean of Order",Orc Shaman // Legendary Creature,2.0,"R, W",Missing Oracle Text,,0,0
