Name,Type,CMC,Color Identity,Oracle Text,Keywords,Power,Toughness,theme_label
Patron of the Orochi,Spirit,8.0,G,Snake offering (You may cast this spell any time you could cast an instant by sacrificing a Snake and paying the difference in mana costs between this and the sacrificed Snake. Mana cost includes color.){T}: Untap all Forests and all green creatures. Activate only once each turn.,Offering,7,7,Snakes
"Pearl-Ear, Imperial Advisor",Fox Advisor,3.0,W,"LifelinkEnchantment spells you cast have affinity for Auras. (They cost {1} less to cast for each Aura you control.)Whenever you cast an Aura spell that targets a modified permanent you control, draw a card. (Equipment, Auras you control, and counters are modifications.)",Lifelink,3,4,Affinity
"Perrie, the Pulverizer",Rhino Soldier,4.0,"G, U, W","When Perrie enters, put a shield counter on target creature. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)Whenever Perrie attacks, target creature you control gains trample and gets +X/+X until end of turn, where X is the number of different kinds of counters among permanents you control.",,3,3,Charge Counters
Phage the Untouchable,Avatar Minion,7.0,B,"When Phage enters, if you didn't cast it from your hand, you lose the game.Whenever Phage deals combat damage to a creature, destroy that creature. It can't be regenerated.Whenever Phage deals combat damage to a player, that player loses the game.",,4,4,Self-Destruct
"Pharika, God of Affliction",God,3.0,"B, G","IndestructibleAs long as your devotion to black and green is less than seven, Pharika isn't a creature.{B}{G}: Exile target creature card from a graveyard. Its owner creates a 1/1 black and green Snake enchantment creature token with deathtouch.",Indestructible,5,5,Deathtouch
Phelddagrif,Phelddagrif,4.0,"G, U, W",{G}: Phelddagrif gains trample until end of turn. Target opponent creates a 1/1 green Hippo creature token.{W}: Phelddagrif gains flying until end of turn. Target opponent gains 2 life.{U}: Return Phelddagrif to its owner's hand. Target opponent may draw a card.,,4,4,Group Hug
"Phelia, Exuberant Shepherd",Dog,2.0,W,"FlashWhenever Phelia attacks, exile up to one other target nonland permanent. At the beginning of the next end step, return that card to the battlefield under its owner's control. If it entered under your control, put a +1/+1 counter on Phelia.",Flash,2,2,Blink
"Phenax, God of Deception",God,5.0,"B, U","IndestructibleAs long as your devotion to blue and black is less than seven, Phenax isn't a creature.Creatures you control have ""{T}: Target player mills X cards, where X is this creature's toughness.""","Indestructible, Mill",4,7,Toughness Matters
"Phlage, Titan of Fire's Fury",Elder Giant,3.0,"R, W","When Phlage enters, sacrifice it unless it escaped.Whenever Phlage enters or attacks, it deals 3 damage to any target and you gain 3 life.Escape—{R}{R}{W}{W}, Exile five other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)",Escape,6,6,Giants
"Phylath, World Sculptor",Elemental,6.0,"G, R","When Phylath enters, create a 0/1 green Plant creature token for each basic land you control.Landfall — Whenever a land you control enters, put four +1/+1 counters on target Plant you control.",Landfall,5,5,Landfall
"Pia Nalaar, Chief Mechanic",Human Artificer,3.0,"G, R, U","Whenever one or more artifact creatures you control deal combat damage to a player, you get {E}{E} (two energy counters).At the beginning of your end step, you may pay one or more {E}. If you do, create an X/X colorless Vehicle artifact token named Nalaar Aetherjet with flying and crew 2, where X is the amount of {E} spent this way.",,2,4,Energy
"Pia Nalaar, Consul of Revival",Human Artificer,2.0,"R, W","Thopters you control have haste.Whenever you play a land from exile or cast a spell from exile, create a 1/1 colorless Thopter artifact creature token with flying.",,2,3,Exile
"Pietra, Crafter of Clowns",Human Clown Artificer,3.0,"R, W","HasteRobots you control get +1/+1.{R}{W}, {T}, Tell a joke you haven't told this game to someone outside the game: Create a 1/1 white Clown Robot artifact creature token. If that person laughed, the token gains haste until end of turn.",Haste,3,2,Robots
"Piper Wright, Publick Reporter",Human Detective,2.0,U,"Whenever Piper Wright deals combat damage to a player, investigate that many times. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")Whenever you sacrifice a Clue, put a +1/+1 counter on target creature you control.",Investigate,1,2,Clues
"Piru, the Volatile",Elder Dragon,8.0,"B, R, W","Flying, lifelinkAt the beginning of your upkeep, sacrifice Piru unless you pay {R}{W}{B}.When Piru dies, it deals 7 damage to each nonlegendary creature.","Flying, Lifelink",7,7,Elders
"Plagon, Lord of the Beach",Starfish Wizard,3.0,"U, W","When Plagon enters, draw a card for each creature you control with toughness greater than its power.{W/U}: Target creature you control assigns combat damage equal to its toughness rather than its power this turn.",,0,3,Toughness Matters
Plargg and Nassari,Orc Efreet,5.0,R,"At the beginning of your upkeep, each player exiles cards from the top of their library until they exile a nonland card. An opponent chooses a nonland card exiled this way. You may cast up to two spells from among the other cards exiled this way without paying their mana costs.",,5,4,Chaos
"Pol Jamaar, Illusionist",Human Illusion Wizard,6.0,U,"FlyingWhen Pol Jamaar enters, choose a creature type. Draw a card for each creature you control of that type.",Flying,4,5,Illusions
"Pramikon, Sky Rampart",Wall,3.0,"R, U, W","Flying, defenderAs Pramikon enters, choose left or right.Each player may attack only the nearest opponent in the chosen direction and planeswalkers controlled by that opponent.","Flying, Defender",1,5,Toughness Matters
"Preston Garvey, Minuteman",Human Soldier,5.0,"G, R, W","At the beginning of combat on your turn, create a green Aura enchantment token named Settlement attached to up to one target land you control. It has enchant land and ""Enchanted land has '{T}: Add one mana of any color.'""Whenever Preston Garvey attacks, untap each enchanted permanent you control.",,4,4,Auras
"Preston, the Vanisher",Rabbit Wizard,4.0,W,"Whenever another nontoken creature you control enters, if it wasn't cast, create a token that's a copy of that creature, except it's a 0/1 white Illusion.{1}{W}, Sacrifice five Illusions: Exile target nonland permanent.",,2,5,Blink
Prime Speaker Vannifar,Elf Ooze Wizard,4.0,"G, U","{T}, Sacrifice another creature: Search your library for a creature card with mana value equal to 1 plus the sacrificed creature's mana value, put that card onto the battlefield, then shuffle. Activate only as a sorcery.",,2,4,Birthing Pod
Prime Speaker Zegana,Merfolk Wizard,6.0,"G, U","Prime Speaker Zegana enters with X +1/+1 counters on it, where X is the greatest power among other creatures you control.When Prime Speaker Zegana enters, draw cards equal to its power.",,1,1,Merfolk
Progenitus,Hydra Avatar,10.0,"B, G, R, U, W","Protection from everythingIf Progenitus would be put into a graveyard from anywhere, reveal Progenitus and shuffle it into its owner's library instead.",Protection,10,10,Hydras
"Prosper, Tome-Bound",Tiefling Warlock,4.0,"B, R","DeathtouchMystic Arcanum — At the beginning of your end step, exile the top card of your library. Until the end of your next turn, you may play that card.Pact Boon — Whenever you play a card from exile, create a Treasure token.","Treasure, Deathtouch",1,4,Treasure
"Prossh, Skyraider of Kher",Dragon,6.0,"B, G, R","When you cast this spell, create X 0/1 red Kobold creature tokens named Kobolds of Kher Keep, where X is the amount of mana spent to cast it.FlyingSacrifice another creature: Prossh gets +1/+0 until end of turn.",Flying,5,5,Aristocrats
"Purphoros, Bronze-Blooded",God,5.0,R,"IndestructibleAs long as your devotion to red is less than five, Purphoros isn't a creature.Other creatures you control have haste.{2}{R}: You may put a red creature card or an artifact creature card from your hand onto the battlefield. Sacrifice it at the beginning of the next end step.",Indestructible,7,6,Phoenixes
"Purphoros, God of the Forge",God,4.0,R,"IndestructibleAs long as your devotion to red is less than five, Purphoros isn't a creature.Whenever another creature you control enters, Purphoros deals 2 damage to each opponent.{2}{R}: Creatures you control get +1/+0 until end of turn.",Indestructible,6,5,Goblins
Queen Allenal of Ruadach,Elf Noble,3.0,"G, W","Queen Allenal of Ruadach's power and toughness are each equal to the number of creatures you control.If one or more creature tokens would be created under your control, those tokens plus a 1/1 white Soldier creature token are created instead.",,0,0,Soldiers
Queen Kayla bin-Kroog,Human Noble,3.0,"R, W","{4}, {T}: Discard all the cards in your hand, then draw that many cards. You may choose an artifact or creature card with mana value 1 you discarded this way, then do the same for artifact or creature cards with mana values 2 and 3. Return those cards to the battlefield. Activate only as a sorcery.",,2,3,Stax
Queen Marchesa,Human Assassin,4.0,"B, R, W","Deathtouch, hasteWhen Queen Marchesa enters, you become the monarch.At the beginning of your upkeep, if an opponent is the monarch, create a 1/1 black Assassin creature token with deathtouch and haste.","Haste, Deathtouch",3,3,Monarch
Questing Beast,Beast,4.0,G,"Vigilance, deathtouch, hasteQuesting Beast can't be blocked by creatures with power 2 or less.Combat damage that would be dealt by creatures you control can't be prevented.Whenever Questing Beast deals combat damage to an opponent, it deals that much damage to target planeswalker that player controls.","Vigilance, Haste, Deathtouch",4,4,Deathtouch
"Queza, Augur of Agonies",Octopus Advisor,4.0,"B, U, W","Whenever you draw a card, target opponent loses 1 life and you gain 1 life.",,3,4,Wheels
"Quickbeam, Upstart Ent",Treefolk,6.0,G,"Whenever Quickbeam or another Treefolk you control enters, up to two target creatures each get +2/+2 and gain trample until end of turn.",,5,6,Treefolk
"Quintorius, Field Historian",Elephant Cleric,5.0,"R, W","Spirits you control get +1/+0.Whenever one or more cards leave your graveyard, create a 3/2 red and white Spirit creature token.",,2,4,Graveyard
"Quintorius, Loremaster",Elephant Cleric,5.0,"R, W","VigilanceAt the beginning of your end step, exile target noncreature, nonland card from your graveyard. Create a 3/2 red and white Spirit creature token.{1}{R}{W}, {T}, Sacrifice a Spirit: Choose target card exiled with Quintorius. You may cast that card this turn without paying its mana cost. If that spell would be put into a graveyard, put it on the bottom of its owner's library instead.",Vigilance,3,5,Spirits
Radagast the Brown,Avatar Wizard,4.0,G,"Whenever Radagast or another nontoken creature you control enters, look at the top X cards of your library, where X is that creature's mana value. You may reveal a creature card that doesn't share a creature type with a creature you control from among those cards and put it into your hand. Put the rest on the bottom of your library in a random order.",,2,5,Primal Surge
"Radagast, Wizard of Wilds",Avatar Wizard,4.0,"G, U","Ward {1}Beasts and Birds you control have ward {1}.Whenever you cast a spell with mana value 5 or greater, choose one —• Create a 3/3 green Beast creature token.• Create a 2/2 blue Bird creature token with flying.",Ward,3,5,Beasts
